trial,timestep,scenario,power,stress,detection,is_attack,yaw_0,yaw_1,yaw_2
4,85,baseline,2801830.4638792956,0.08789059125642251,False,False,-0.02929686375214084,-0.02929686375214084,0.02929686375214084
4,86,baseline,2801830.4638792956,0.08789059125642251,False,False,-0.02929686375214084,-0.02929686375214084,0.02929686375214084
4,87,baseline,2801830.4638792956,0.08789059125642251,False,False,-0.02929686375214084,-0.02929686375214084,0.02929686375214084
4,88,baseline,2801830.4638792956,0.08789059125642251,False,False,-0.02929686375214084,-0.02929686375214084,0.02929686375214084
4,89,baseline,2801830.4638792956,0.08789059125642251,False,False,-0.02929686375214084,-0.02929686375214084,0.02929686375214084
4,90,baseline,2801830.4638792956,0.08789059125642251,False,False,-0.02929686375214084,-0.02929686375214084,0.02929686375214084
4,91,baseline,2801830.4638792956,0.08789059125642251,False,False,-0.02929686375214084,-0.02929686375214084,0.02929686375214084
4,92,baseline,2801830.4638792956,0.08789059125642251,False,False,-0.02929686375214084,-0.02929686375214084,0.02929686375214084
4,93,baseline,2801830.4638792956,0.08789059125642251,False,False,-0.02929686375214084,-0.02929686375214084,0.02929686375214084
4,94,baseline,2801830.4638792956,0.08789059125642251,False,False,-0.02929686375214084,-0.02929686375214084,0.02929686375214084
4,95,baseline,2801830.4638792956,0.08789059125642251,False,False,-0.02929686375214084,-0.02929686375214084,0.02929686375214084
4,96,baseline,2801830.4638792956,0.08789059125642251,False,False,-0.02929686375214084,-0.02929686375214084,0.02929686375214084
4,97,baseline,2801830.4638792956,0.08789059125642251,False,False,-0.02929686375214084,-0.02929686375214084,0.02929686375214084
4,98,baseline,2801830.4638792956,0.08789059125642251,False,False,-0.02929686375214084,-0.02929686375214084,0.02929686375214084
4,99,baseline,2801830.4638792956,0.08789059125642251,False,False,-0.02929686375214084,-0.02929686375214084,0.02929686375214084
4,100,baseline,2801829.887712708,0.17569534383809898,False,False,-0.058565114612699656,-0.058565114612699656,0.058565114612699656
4,101,baseline,2801829.887712708,0.17569534383809898,False,False,-0.058565114612699656,-0.058565114612699656,0.058565114612699656
4,102,baseline,2801829.887712708,0.17569534383809898,False,False,-0.058565114612699656,-0.058565114612699656,0.058565114612699656
